,Main Road,,2,2,,Freehold,1130 sqft,,
72 Lac ,5496,visakhapatnam,1210 sqft,Ready to Move,3 out of 5,New Property,Semi-Furnished,East,Main Road,,2,1,,Freehold,,,
58.5 Lac ,,visakhapatnam,905 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,East,Main Road,,2,2,,Freehold,,,
75 Lac ,7246,visakhapatnam,,Ready to Move,4 out of 5,Resale,Furnished,,,,2,,,,1035 sqft,,
55 Lac ,3514,visakhapatnam,1565 sqft,Ready to Move,1 out of 3,Resale,Furnished,East,Main Road,,3,2,,Freehold,,,
28 Lac ,2800,visakhapatnam,830 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,,,,2,2,,,,,
32.4 Lac ,3000,visakhapatnam,,Ready to Move,1 out of 5,Resale,Unfurnished,East,"Garden/Park, Main Road",,2,,1 Covered,Power Of Attorney,1080 sqft,,
1.35 Cr ,6338,visakhapatnam,1500 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,,,,3,3,,,,,
1 Cr ,16667,visakhapatnam,,Ready to Move,2 out of 3,Resale,Unfurnished,,,,2,,,,600 sqft,,
55 Lac ,5238,visakhapatnam,1050 sqft,Ready to Move,1 out of 3,Resale,Semi-Furnished,East,,,2,2,,,,,
34 Lac ,3400,visakhapatnam,1000 sqft,Ready to Move,Ground out of 3,Resale,Unfurnished,North,,,2,1,,Freehold,,,
33 Lac ,3687,visakhapatnam,700 sqft,Ready to Move,3 out of 8,Resale,Unfurnished,West,"Garden/Park, Main Road",,2,1,,Freehold,,,
3.57 Cr ,11000,visakhapatnam,3200 sqft,Ready to Move,5 out of 5,Resale,Semi-Furnished,East,Main Road,,4,3,2 Covered,Freehold,,,
35 Lac ,3043,visakhapatnam,,Ready to Move,2 out of 4,Resale,Unfurnished,,,,2,2,,,1150 sqft,,
1.76 Cr ,,visakhapatnam,2150 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,,,,3,1,,,,,
73 Lac ,7053,visakhapatnam,830 sqft,Ready to Move,4 out of 5,Resale,Unfurnished,East,,,2,1,,Freehold,,,
45 Lac ,4245,visakhapatnam,1100 sqft,Ready to Move,4 out of 5,Resale,Furnished,North,"Main Road, Garden/Park",,2,3,,Freehold,,,
34.2 Lac ,3040,visakhapatnam,1125 sqft,Ready to Move,4 out of 5,New Property,Unfurnished,East,"Garden/Park, Main Road",Seshadri Elite,2,2,1 Covered,Freehold,,,
31.1 Lac ,3675,visakhapatnam,700 sqft,Ready to Move,2 out of 5,New Property,Semi-Furnished,North,,,2,2,,Freehold,,,
81.3 Lac ,4500,visakhapatnam,,Ready to Move,6 out of 8,Resale,Unfurnished,West,"Pool, Garden/Park, Main Road",Capital Towers,3,2,2 Covered,Freehold,1806 sqft,,
39.6 Lac ,3300,visakhapatnam,,Ready to Move,2 out of 5,New Property,Unfurnished,,,Green City Homes,2,,1 Covered,,1199 sqft,,
51 Lac ,4636,visakhapatnam,800 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,East,Main Road,,2,1,,Freehold,,,
60 Lac ,5714,visakhapatnam,1000 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,East,Main Road,,2,2,"1 Covered,",Freehold,,,
51 Lac ,5667,visakhapatnam,900 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,,Main Road,,2,1,1 Covered,Freehold,,,
60 Lac ,4000,visakhapatnam,100 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,South - East,Main Road,,3,2,,Freehold,,,
42 Lac ,4800,visakhapatnam,25 sqft,Ready to Move,Ground out of 4,Resale,Unfurnished,East,Main Road,,2,,,Freehold,,,
33 Lac ,3143,visakhapatnam,950 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,,"Garden/Park, Main Road",,2,1,,Freehold,,,
99 Lac ,6828,visakhapatnam,,Ready to Move,,Resale,,,,,,,,,1450 sqft,,
70 Lac ,6567,visakhapatnam,,Ready to Move,5 out of 5,Resale,Furnished,,,,2,,,,1066 sqft,,
27 Lac ,3140,visakhapatnam,,Ready to Move,2 out of 5,Resale,Unfurnished,North,,,2,1,,Freehold,860 sqft,,
45 Lac ,5000,visakhapatnam,900 sqft,Ready to Move,3 out of 3,New Property,Semi-Furnished,,,,2,2,,,,,
64.8 Lac ,3600,visakhapatnam,1800 sqft,Ready to Move,4 out of 5,New Property,Unfurnished,East,Main Road,Sardar Nest,2,1,1 Covered,Freehold,,,
1.28 Cr ,,visakhapatnam,1350 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,,,MK Bliss,2,2,,,,,
40 Lac ,3738,visakhapatnam,,Ready to Move,4 out of 4,Resale,Semi-Furnished,,,Suvarna Srinivasam,2,,,,1070 sqft,,
1.05 Cr ,6364,visakhapatnam,1100 sqft,Ready to Move,6 out of 16,Resale,Furnished,West,Pool,Celest,3,1,,Freehold,,,
51 Lac ,4282,visakhapatnam,952 sqft,Ready to Move,5 out of 5,Resale,Furnished,,,,2,1,,,,,
78 Lac ,,visakhapatnam,1575 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,,,SARAT SANKALP PARADISE,3,2,,,,,
65 Lac ,4333,visakhapatnam,1175 sqft,Ready to Move,Lower Basement out of 5,New Property,Unfurnished,East,,,2,2,,Freehold,,,
65 Lac ,6019,visakhapatnam,,Ready to Move,4 out of 5,Resale,Unfurnished,,,,2,,,,1080 sqft,,
Call for Price,,visakhapatnam,1030 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,West,,,2,1,1 Covered,,,,
32 Lac ,,visakhapatnam,1030 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,West,,,2,1,,Freehold,,,
31.5 Lac ,3990,visakhapatnam,,Ready to Move,,New Property,Furnished,,,Vaibhav Aavaas,2,,1 Covered,,790 sqft,,
45 Lac ,2812,visakhapatnam,1500 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,East,Main Road,,2,2,,Freehold,,,
1.30 Cr ,8202,visakhapatnam,1275 sqft,Ready to Move,2 out of 8,Resale,Unfurnished,,,Gayathri Towers,3,2,,,,,
48.6 Lac ,3600,visakhapatnam,1350 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,East,Main Road,Sardar Nest,2,1,1 Covered,Freehold,,,
80 Lac ,6689,visakhapatnam,1100 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,South,Main Road,,2,2,1 Open,Freehold,,,
30 Lac ,3000,visakhapatnam,,Ready to Move,3 out of 5,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",,2,1,,Freehold,1000 sqft,,
40 Lac ,4444,visakhapatnam,,Ready to Move,4 out of 5,New Property,Unfurnished,East,Main Road,,2,1,,Freehold,900 sqft,,
85 Lac ,5192,visakhapatnam,,Ready to Move,14 out of 17,Resale,Unfurnished,West,Main Road,Shriram Panorama Hills,3,2,1 Covered,Freehold,1637 sqft,,
72 Lac ,,visakhapatnam,1500 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,,,,3,3,,,,,
70 Lac ,4167,visakhapatnam,,Ready to Move,4 out of 4,Resale,Unfurnished,North - East,Main Road,Navya Nulife,3,2,,Freehold,1680 sqft,,
38 Lac ,4246,visakhapatnam,,Ready to Move,4 out of 8,Resale,Unfurnished,,,Pavan Mitra Apartments,2,1,,,895 sqft,,
36.1 Lac ,4034,visakhapatnam,650 sqft,Ready to Move,4 out of 8,New Property,Unfurnished,West,Garden/Park,,2,2,,Freehold,,,
49.1 Lac ,4400,visakhapatnam,905 sqft,Ready to Move,5 out of 5,New Property,Unfurnished,North,Main Road,,2,2,,Freehold,,,
32 Lac ,3556,visakhapatnam,780 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,South,Main Road,,2,2,,Freehold,,,
62.4 Lac ,4000,visakhapatnam,1250 sqft,Ready to Move,3 out of 5,New Property,Unfurnished,East,Main Road,,3,2,,Freehold,,,
65 Lac ,5556,visakhapatnam,,Ready to Move,1 out of 4,Resale,Unfurnished,,,,2,,,,1170 sqft,,
76.8 Lac ,6000,visakhapatnam,,Ready to Move,3 out of 15,Resale,Unfurnished,West,Pool,Indiabulls Sierra,2,1,,Freehold,1280 sqft,,
42 Lac ,4941,visakhapatnam,,Ready to Move,1 out of 3,Resale,Semi-Furnished,West,,,2,1,,Freehold,850 sqft,,
39 Lac ,3805,visakhapatnam,,Ready to Move,3 out of 5,New Property,Unfurnished,North,,,2,1,,Freehold,1025 sqft,,
1.30 Cr ,7514,visakhapatnam,1500 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,West,Garden/Park,,3,3,1 Covered,Freehold,,,
Call for Price,,visakhapatnam,340 sqft,Ready to Move,Lower Basement out of 3,Resale,Unfurnished,,,,1,,,Freehold,,,
98 Lac ,6203,visakhapatnam,1580 sqft,Ready to Move,5 out of 5,Resale,Furnished,,,,3,2,,,,,
39.9 Lac ,4750,visakhapatnam,,Ready to Move,2 out of 5,Resale,Furnished,North,Main Road,,2,1,202 Covered,Power Of Attorney,840 sqft,,
90 Lac ,6316,visakhapatnam,1425 sqft,Ready to Move,4 out of 5,Resale,Furnished,East,"Pool, Garden/Park",MK Arena,2,2,,Freehold,,,
24 Lac ,2400,visakhapatnam,950 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",,2,1,,Freehold,,,
47.5 Lac ,5278,visakhapatnam,800 sqft,Ready to Move,5 out of 5,Resale,Semi-Furnished,,,,2,1,,,,,
Call for Price,,visakhapatnam,,Ready to Move,2 out of 5,Resale,Unfurnished,,,Achuthapuram Project,2,,,,1300 sqft,,
48.2 Lac ,3960,visakhapatnam,,Ready to Move,3 out of 5,New Property,Unfurnished,,,Green City Homes,2,,1 Covered,,1218 sqft,,
39.9 Lac ,3630,visakhapatnam,,Ready to Move,1 out of 5,New Property,Unfurnished,,,Green City Homes,2,,1 Covered,,1100 sqft,,
56 Lac ,5600,visakhapatnam,880 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,North,,,2,2,,Freehold,,,
62 Lac ,6458,visakhapatnam,,Ready to Move,2 out of 4,Resale,Furnished,,,,2,3,,,960 sqft,,
95 Lac ,5758,visakhapatnam,1430 sqft,Ready to Move,5 out of 5,Resale,Furnished,East,Garden/Park,MK Senate,3,2,1 Covered,Freehold,,,
1.45 Cr ,9667,visakhapatnam,,Ready to Move,,Resale,,,,MVV City,,,,,1500 sqft,,
48.6 Lac ,3040,visakhapatnam,1600 sqft,Ready to Move,3 out of 5,New Property,Unfurnished,East,Main Road,Seshadri Elite,2,2,1 Covered,Freehold,,,
60 Lac ,3785,visakhapatnam,1350 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,East,,,3,1,,Freehold,,,
68 Lac ,4500,visakhapatnam,1250 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,North,Garden/Park,,2,2,,Freehold,,,
35 Lac ,,visakhapatnam,1111 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,,,Novus Florence Village,2,1,,,,,
3.20 Cr ,11034,visakhapatnam,,Ready to Move,2 out of 5,Resale,Semi-Furnished,West,Main Road,,3,2,2 Covered,Freehold,2900 sqft,,
61 Lac ,4552,visakhapatnam,,Ready to Move,5 out of 5,Resale,Semi-Furnished,East,Main Road,,2,2,,Freehold,1340 sqft,,
42 Lac ,4200,visakhapatnam,850 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,North - East,Main Road,,2,1,,Freehold,,,
82 Lac ,4767,visakhapatnam,1720 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,East,Main Road,,3,2,,Freehold,,,
32 Lac ,3556,visakhapatnam,1050 sqft,Ready to Move,3 out of 5,Resale,Furnished,East,"Garden/Park, Main Road",,2,1,,Freehold,,,
38 Lac ,3654,visakhapatnam,900 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,East,,,2,1,,Freehold,,,
1.90 Cr ,7917,visakhapatnam,,Ready to Move,3 out of 5,Resale,Semi-Furnished,North,Main Road,,3,1,1 Covered,Freehold,2400 sqft,,
34.2 Lac ,3040,visakhapatnam,1125 sqft,Ready to Move,4 out of 5,New Property,Unfurnished,East,"Garden/Park, Main Road",Seshadri Elite,2,2,1 Covered,Freehold,,,
60 Lac ,533,visakhapatnam,1000 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,East,Main Road,Padma Residency,2,1,,Freehold,,,
70 Lac ,7000,visakhapatnam,,Ready to Move,1 out of 4,Resale,Furnished,,Garden/Park,,2,1,1 Covered,Freehold,1000 sqft,,
57 Lac ,,visakhapatnam,600 sqft,Ready to Move,3 out of 19,,Semi-Furnished,,,,2,,,,,,
41 Lac ,4457,visakhapatnam,750 sqft,Ready to Move,4 out of 4,Resale,Unfurnished,North,Main Road,,2,1,,Freehold,,,
33.5 Lac ,3284,visakhapatnam,800 sqft,Ready to Move,1 out of 5,Resale,Semi-Furnished,North - East,Main Road,,2,2,,Freehold,,,
45 Lac ,4091,visakhapatnam,900 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,East,,,2,1,,Freehold,,,
90 Lac ,6498,visakhapatnam,,Ready to Move,1 out of 5,Resale,Semi-Furnished,North,Main Road,,3,1,,,1385 sqft,,
58 Lac ,4328,visakhapatnam,1300 sqft,Ready to Move,4 out of 5,Resale,Furnished,,,,2,2,,,,,
1.35 Cr ,9000,visakhapatnam,1170 sqft,Ready to Move,12 out of 15,Resale,Semi-Furnished,,,MVV City,2,2,,,,,
40 Lac ,4188,visakhapatnam,955 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North,,,2,1,,Freehold,,,
52.8 Lac ,3520,visakhapatnam,1100 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,,,MVV Heritage,2,2,,,,,
39.9 Lac ,,visakhapatnam,840 sqft,Ready to Move,2 out of 5,Resale,Furnished,,,,2,1,,,,,
54.5 Lac ,3746,visakhapatnam,1350 sqft,Ready to Move,3 out of 5,New Property,Unfurnished,East,Main Road,,3,1,,Freehold,,,
43.9 Lac ,4200,visakhapatnam,,Ready to Move,2 out of 5,Resale,Unfurnished,North,Garden/Park,,2,1,,Freehold,1045 sqft,,
90 Lac ,5660,visakhapatnam,,Ready to Move,2 out of 5,Resale,Semi-Furnished,,,,3,3,,,1590 sqft,,
36 Lac ,3636,visakhapatnam,,Ready to Move,3 out of 5,New Property,Semi-Furnished,,Garden/Park,,2,1,,Freehold,990 sqft,,
42.3 Lac ,4384,visakhapatnam,780 sqft,Ready to Move,3 out of 5,New Property,Unfurnished,North,Main Road,,2,2,,Freehold,,,
56.5 Lac ,4708,visakhapatnam,980 sqft,Ready to Move,2 out of 3,New Property,Semi-Furnished,North,Main Road,,2,2,,Freehold,,,
51.8 Lac ,4500,visakhapatnam,900 sqft,Ready to Move,3 out of 5,New Property,Unfurnished,East,Main Road,Madhuvan,2,2,,Freehold,,,
62 Lac ,3444,visakhapatnam,,Ready to Move,2 out of 2,Resale,Semi-Furnished,,,,2,,,,1800 sqft,,
55 Lac ,4583,visakhapatnam,855 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,West,Garden/Park,,2,,1 Open,Freehold,,,
1.49 Cr ,9255,visakhapatnam,1610 sqft,Ready to Move,8 out of 8,Resale,Semi-Furnished,North,"Garden/Park, Main Road",,3,3,,Freehold,,,
32 Lac ,3137,visakhapatnam,,Ready to Move,4 out of 5,Resale,Unfurnished,,,,2,,,,1020 sqft,,
75 Lac ,4167,visakhapatnam,1500 sqft,Ready to Move,4 out of 5,Resale,Semi-Furnished,West,Garden/Park,Vuda Haritha Apartments,3,2,1 Covered,Freehold,,,
70 Lac ,4861,visakhapatnam,,Ready to Move,2 out of 2,Resale,Semi-Furnished,,,,2,,,,1440 sqft,,
89.9 Lac ,7500,visakhapatnam,898 sqft,Ready to Move,Ground out of 8,Resale,Unfurnished,North,"Garden/Park, Main Road",Gayathri Towers,2,2,,Freehold,,,
55 Lac ,3929,visakhapatnam,1200 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,,,Vuda Haritha Apartments,2,2,,,,,
1.75 Cr ,8621,visakhapatnam,,Ready to Move,8 out of 10,Resale,Furnished,East,Garden/Park,Lansum Greens,3,2,2 Covered,Freehold,2030 sqft,,
99 Lac ,7615,visakhapatnam,,Ready to Move,2 out of 6,Resale,Unfurnished,,,,2,,,,1300 sqft,,
40 Lac ,5369,visakhapatnam,680 sqft,Ready to Move,2 out of 3,Resale,Semi-Furnished,,,,2,1,,,,,
72.5 Lac ,5179,visakhapatnam,1160 sqft,Ready to Move,11 out of 16,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Celest,2,2,111 Covered,Freehold,,,
1.05 Cr ,0,visakhapatnam,,Ready to Move,,Resale,,,,,,,,,"530,040 ground",,
50 Lac ,4167,visakhapatnam,1200 sqft,Ready to Move,Ground out of 5,Resale,Furnished,West,Main Road,,2,1,103 Covered,Freehold,,,
48 Lac ,4267,visakhapatnam,,Ready to Move,1 out of 5,Resale,Furnished,,,Sai Priya Gardens,2,,,,1125 sqft,,
65 Lac ,4498,visakhapatnam,1300 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,,,,2,2,,,,,
90 Lac ,5455,visakhapatnam,880 sqft,Ready to Move,12 out of 16,Resale,Semi-Furnished,,,Celest,3,1,,,,,
60 Lac ,,visakhapatnam,1150 sqft,Ready to Move,5 out of 20,Resale,Unfurnished,,,,2,1,,,,,
39.5 Lac ,4389,visakhapatnam,900 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,South,Main Road,,2,2,1 Covered,Freehold,,,
60 Lac ,3947,visakhapatnam,1350 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,South,Main Road,,2,3,1 Covered,Freehold,,,
56 Lac ,5333,visakhapatnam,840 sqft,Ready to Move,4 out of 5,New Property,Unfurnished,South,,,2,2,,Co-operative Society,,,
32.3 Lac ,3400,visakhapatnam,950 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,East,Main Road,Beach View,2,1,,Freehold,,,
1.10 Cr ,6180,visakhapatnam,1500 sqft,Ready to Move,1 out of 5,Resale,Semi-Furnished,East,,,3,1,,Freehold,,,
86.5 Lac ,5490,visakhapatnam,1260 sqft,Ready to Move,2 out of 5,New Property,Unfurnished,East,,,2,3,,Co-operative Society,,,
59.2 Lac ,3200,visakhapatnam,1850 sqft,Ready to Move,4 out of 5,New Property,Unfurnished,West,Main Road,,3,3,1 Covered,Freehold,,,
62 Lac ,4477,visakhapatnam,1385 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,East,"Garden/Park, Main Road",,3,2,,Freehold,,,
30 Lac ,3000,visakhapatnam,,Ready to Move,1 out of 4,Resale,Unfurnished,West,Main Road,Varaha Pride,2,,,Co-operative Society,1000 sqft,,
75 Lac ,7143,visakhapatnam,,Ready to Move,5 out of 5,Resale,Unfurnished,North,Main Road,,2,,,Freehold,1050 sqft,,
56 Lac ,5803,visakhapatnam,925 sqft,Ready to Move,3 out of 5,Resale,Semi-Furnished,,,,2,1,,,,,
